w repl scaling L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred tlav tlvar tlmax tlmed dsk odsk idsk pp tp w_s repl_s scaling_s L_s S1_s S2_s S3_s S4_s S5_s D1_s D2_s D3_s D4_s D5_s D6_s D7_s D8_s S_s b_s bm_s bprod_s bpred_s compratio co prank
79 0 0 62 0.0970873786407767 0.180582524271845 0 0.285436893203883 0.341747572815534 0.0446601941747573 0.0427184466019417 0 0 0 0.00776699029126214 0 0 15 3.747 -0.602407565961883 0.265643141942135 -2.33579210192363 2.26666666667 0.462222222222 2 3 0.499140446418 1.03444539884 1.54621172888 0.133333333333 0 79 3 0 62 50 93 0 147 176 23 22 0 0 0 4 0 0 15 1.151159915136 0.07674399434244 0.3547542208388 0.03397319026612 0.263689854516953 0.275555555555556 1
93 0 0 45 0.217213114754098 0.102459016393443 0 0.299180327868852 0.159836065573771 0.0901639344262295 0.0737704918032787 0.00409836065573771 0.00409836065573771 0 0.0491803278688525 0 0 17 6.39942 -0.424308307115595 0.0477938928189077 -0.661768395963012 2.41176470588 0.83044982699 2 4 0.415078032394 0.0176274430533 0.281272002967 0.176470588235 0.235294117647 93 3 0 45 53 25 0 73 39 22 18 1 1 0 12 0 0 17 2.275902822184 0.133876636599 0.582655880358 0.03770965579348 0.458153415643682 0.155709342560554 2
27 0 0 116 0.166969147005445 0.23502722323049 0 0.310344827586207 0.161524500907441 0.0453720508166969 0.0617059891107078 0.00272232304900181 0.00544464609800363 0 0.00816696914700544 0 0.00272232304900181 20 10.431 -0.28270405026106 0.34733001531695 -0.478498702690909 2.5 0.45 3 3 -0.0250080393974 0.135502429553 0.5087157802 0.1 0.1 27 3 0 116 184 259 0 342 178 50 68 3 6 0 9 0 3 20 1.474872830222 0.0737436415112 0.5193467192966 0.02423218842394 0.465583341325905 0.29 3
3 0 0 52 0.0882352941176471 0.0563725490196078 0 0.306372549019608 0.372549019607843 0.0147058823529412 0.0514705882352941 0.0269607843137255 0.00980392156862745 0.00245098039215686 0.0588235294117647 0.00490196078431373 0.00735294117647059 19 16.94 -0.0498401949583459 0.0617037342194973 -0.0743656598531523 2.10526315789 0.409972299169 2 3 0.644424858886 1.87481628644 1.34897925572 0.157894736842 0.157894736842 3 4.25 0 52 36 23 0 125 152 6 21 11 4 1 24 2 3 19 2.2928476226835 0.1206761906675 0.6761371700449 0.0165272570342 0.260636181119676 0.14404432132964 4.5
106 0 0 52 0.0882352941176471 0.0563725490196078 0 0.306372549019608 0.372549019607843 0.0147058823529412 0.0514705882352941 0.0269607843137255 0.00980392156862745 0.00245098039215686 0.0588235294117647 0.00490196078431373 0.00735294117647059 19 16.94 -0.0498401949583459 0.0617037342194973 -0.0743656598531523 2.10526315789 0.409972299169 2 3 0.644424858886 1.87481628644 1.34897925572 0.157894736842 0.157894736842 106 3 0 52 36 23 0 125 152 6 21 11 4 1 24 2 3 19 2.299227368414 0.1210119667586 0.6765302244552 0.01685229344054 0.260636181119676 0.14404432132964 4.5
77 0 0 22 0 0.1 0 0.5 0.291666666666667 0.05 0.0416666666666667 0 0 0 0.0166666666666667 0 0 12 11.1 -0.0338582672609674 0.352182518111362 -0.180456064458131 1.58333333333 0.243055555556 2 2 0.469449234872 1.87145178064 1.06506766876 0.166666666667 0.333333333333 77 3 0 22 0 12 0 60 35 6 5 0 0 0 2 0 0 12 1.223903072318 0.1019919226932 0.384171290013 0.04555604922914 0.433655560938572 0.152777777777778 6
96 0 0 90 0.0936490850376749 0.125941872981701 0 0.398277717976319 0.318622174381055 0.0290635091496232 0.0139935414424112 0.00861141011840689 0.00322927879440258 0.00107642626480086 0.00107642626480086 0 0.00645855758880517 22 20.92303 -0.0217981030650959 0.615950051656401 -0.347650328446947 2.13636363636 0.390495867769 2 3 -0.116650778234 0.492687106846 0.50230638768 0.136363636364 0.272727272727 96 3 0 90 87 117 0 370 296 27 13 8 3 1 1 0 6 22 1.653549110358 0.07516132319816 0.4558413994212 0.01505394274192 0.352182518111362 0.18595041322314 7
76 0 0 62 0.0759803921568627 0.174019607843137 0 0.161764705882353 0.215686274509804 0.137254901960784 0.137254901960784 0.00980392156862745 0 0 0.0882352941176471 0 0 13 12.91 -0.00301711004038281 -0.543633966870957 0.0220157398177203 2.38461538462 0.390532544379 2 3 -0.103014804488 0.530633670708 0.568228209384 0.0769230769231 0 76 3 0 62 31 71 0 66 88 56 56 4 0 0 36 0 0 13 0.3324738779338 0.0255749136872 0.1872961319236 0.01209814550084 0.243038048686294 0.366863905325444 8
85 0 0 398 0.0767297103184103 0.151903279865932 0 0.410342350969595 0.278429494852765 0.0316016279626526 0.0323198467799856 0.00622456308355279 0.00430931290399808 0.00131673449844386 0.00598515681110845 0.000119703136222169 0.000718218817333014 43 51.399845 0.0774933537714976 1.38021124171161 -0.185501184359657 2.62790697674 0.280151433207 3 3 0.694251390303 1.74561999923 1.23283119079 0.0232558139535 0 85 3 0 398 641 1269 0 3428 2326 264 270 52 36 11 50 1 6 43 0.3413723525054 0.007938891918732 0.1908326572894 0.00358427845752 0.393360147161878 0.215251487290427 9
57 0 0 61 0.0541353383458647 0.0556390977443609 0 0.584962406015038 0.273684210526316 0.00902255639097744 0.0195488721804511 0 0 0 0.00300751879699248 0 0 19 23.307 0.088732775216262 0.574609941340187 0.0359186834582656 2.31578947368 1.26869806094 3 4 0.825929715084 0.33628518623 1.25073697163 0.0526315789474 0.315789473684 57 3 0 61 36 37 0 389 182 6 13 0 0 0 2 0 0 19 0.3732218671122 0.01964325616382 0.2138365472946 0.008854739989876 0.496564720260773 0.168975069252078 10
102 0 0 166 0.118918918918919 0.037006237006237 0 0.517671517671518 0.271517671517672 0.0195426195426195 0.00207900207900208 0.0153846153846154 0.00665280665280665 0.000415800415800416 0.00540540540540541 0 0.00540540540540541 39 49.673747 0.105062313991452 1.15089351000823 -0.698346334998742 2.23076923077 0.331360946746 2 3 0.645529291625 0.39465398675 1.56931179388 0.0769230769231 0 102 3 0 166 286 89 0 1245 653 47 5 37 16 1 13 0 13 39 1.027796246722 0.02635374991594 0.1917170419458 0.0125734755801 0.4633830268162 0.10913872452334 11
84 0 0 397 0.0761482192109366 0.15109725386737 0 0.412879242115362 0.277131550545629 0.0316584722388776 0.0323779829715793 0.00623575968341528 0.00431706439621058 0.00131910300995323 0.00599592277251469 0.000119918455450294 0.000719510732701763 43 57.53906 0.126494307082098 1.38021124171161 -0.0976984039386456 2.62790697674 0.280151433207 3 3 0.704948256649 1.76281876113 1.22568321997 0.0232558139535 0 84 3 0 397 635 1260 0 3443 2311 264 270 52 36 11 50 1 6 43 0.3456531355924 0.008038445013776 0.194466444119 0.003599683130318 0.396169912075198 0.214710654407788 12
83 0 0 389 0.077034707945338 0.141734187930826 0 0.421695489176442 0.28878945458943 0.0253960575643971 0.0289031321804329 0.00580481315757649 0.00411174265328335 0.00108840246704559 0.0047164106905309 0.00012093360744951 0.000604668037247551 43 60.7856 0.150332252290772 1.38021124171161 -0.0575714463012643 2.62790697674 0.280151433207 3 3 0.673456606134 1.68014211648 1.20932362771 0.0232558139535 0.0232558139535 83 3 0 389 637 1172 0 3487 2388 210 239 48 34 9 39 1 5 43 0.3413529064842 0.00793843968568 0.1914825268946 0.00356834237118 0.390973548486442 0.210383991346674 13
80 0 0 40 0.0963455149501661 0.112956810631229 0 0.332225913621262 0.458471760797342 0 0 0 0 0 0 0 0 14 22.303 0.202235248706559 0.896884307654437 -0.264268064772285 2.42857142857 0.530612244898 3 3 -0.279241830677 0.90033575476 -0.4271206267 0.142857142857 0.285714285714 80 3 0 40 29 34 0 100 138 0 0 0 0 0 0 0 0 14 0.6653073615864 0.04752195439902 0.1918076588246 0.02347433699474 0.236697870655275 0.204081632653061 14
94 0 0 46 0.0254957507082153 0.201133144475921 0 0.458923512747875 0.286118980169972 0.0028328611898017 0.0226628895184136 0 0 0 0.0028328611898017 0 0 12 21.0915 0.244926221247929 0.397940008672038 0.227921745789558 2 0.166666666667 2 3 -0.527219618675 0.30816028891 0.411590829145 0.0833333333333 0.25 94 3 0 46 9 71 0 162 101 1 8 0 0 0 1 0 0 12 0.335654144709 0.02797117872574 0.1977427897588 0.01253739590456 0.415634374707115 0.319444444444444 15
