w scaling repl L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred compratio co prank
20 2 17.5 370 0.0601941747572816 0.040890919474586 0 0.792461450599657 0.102113078241005 0.00137064534551685 0.00251284980011422 0 0 0 0.000456881781838949 0 0 154 0.29949273013404 0.001944757987884 0.1403693184421 0.00104002229863924 7.76062639821029 0.0156012818350481 1
29 2 13.1842105263158 1483 0.100923471713403 0.189269495044992 0.00010129488629649 0.275285735991761 0.403828946702007 0.0155656475275606 0.0118177367345905 0.00133371600290379 0.000557121874630696 0.000219472253642395 0.000928536457717826 6.75299241976601e-05 0.00010129488629649 81 0.562069448140132 0.00693912898938474 0.122107457329789 0.00402347510734868 0.681688963210702 0.226032616979119 2
30 2 17.5 380 0.0399032648125756 0.141354292623942 0 0.149334945586457 0.514752116082225 0.102539298669891 0.0191051995163241 0.00544135429262394 0.000120918984280532 0 0.0274486094316808 0 0 35 0.30793142300012 0.0087980406571428 0.1496304786729 0.0046559101272712 0.290110406389476 0.310204081632653 3
172 2 17.5 70 0.0621403912543153 0.0103567318757192 0 0.575373993095512 0.352128883774453 0 0 0 0 0 0 0 0 26 0.3000966044845 0.0115421770955562 0.1443947646026 0.0062280735952762 1.63398692810458 0.103550295857988 4
110 2 17.5 47 0.108991825613079 0.0354223433242507 0 0.574931880108992 0.280653950953678 0 0 0 0 0 0 0 0 25 0.29606930416268 0.011842772166512 0.13571699759882 0.0066813461068308 2.04854368932039 0.0752 5
95 2 17.5 27 0.0944444444444444 0.05 0 0.594444444444444 0.261111111111111 0 0 0 0 0 0 0 0 15 0.29947080102542 0.019964720068356 0.13836071434264 0.0115078633344828 2.27659574468085 0.12 6
103 2 17.5 32 0.201058201058201 0.0846560846560847 0 0.338624338624339 0.296296296296296 0.0211640211640212 0.0317460317460317 0.00529100529100529 0.0105820105820106 0 0 0 0.0105820105820106 14 0.28724208703582 0.020517291931134 0.11887188732144 0.012951553824192 1.14285714285714 0.163265306122449 7
18 2 17.5 203 0.0896069287141905 0.148234510326449 0 0.296469020652898 0.361425716189207 0.0579613590939374 0.0223184543637575 0.00799467021985343 0.00266489007328448 0 0.0123251165889407 0.00033311125916056 0.000666222518321119 29 0.61274878557572 0.02112926846813 0.12666499242834 0.013311807434048 0.820276497695852 0.241379310344828 8
7 2 17.5 62 0.0863422291993721 0.0408163265306122 0 0.433281004709576 0.43956043956044 0 0 0 0 0 0 0 0 27 0.60760016156502 0.022503709687586 0.14229220282186 0.012920630236854 0.985714285714286 0.0850480109739369 9
135 2 17.5 44 0.152173913043478 0.0093167701863354 0 0.496894409937888 0.341614906832298 0 0 0 0 0 0 0 0 25 0.58050770820248 0.023220308328104 0.11954754074166 0.014844027248658 1.45454545454545 0.0704 10
28 2 17.5 556 0.120747164776518 0.141260840560374 0.00225150100066711 0.196380920613742 0.358072048032021 0.0633755837224817 0.0394429619746498 0.0295196797865243 0.0122581721147432 0.00466977985323549 0.0240160106737825 0.00458639092728486 0.00341894596397598 50 1.165638490942 0.023312769818836 0.16592682181132 0.014209745223572 0.548439683278994 0.2224 11
131 2 17.5 16 0.126436781609195 0.0229885057471264 0 0.551724137931034 0.298850574712644 0 0 0 0 0 0 0 0 12 0.29132418882658 0.024277015735552 0.12768403778066 0.014876377367804 1.84615384615385 0.111111111111111 12
159 2 17.5 19 0.158878504672897 0.0186915887850467 0 0.495327102803738 0.327102803738318 0 0 0 0 0 0 0 0 12 0.29832338364802 0.024860281970674 0.13466015701888 0.0148784751481 1.51428571428571 0.131944444444444 13
130 2 17.5 18 0.153153153153153 0 0 0.522522522522523 0.324324324324324 0 0 0 0 0 0 0 0 12 0.30300679664072 0.025250566386728 0.1397985343419 0.014837114754436 1.61111111111111 0.125 14
127 2 17.5 35 0.091254752851711 0.0114068441064639 0 0.604562737642586 0.29277566539924 0 0 0 0 0 0 0 0 22 0.59939723231468 0.027245328741574 0.13741409636982 0.016228451978748 2.06493506493506 0.0723140495867769 15
119 2 17.5 20 0.0746268656716418 0.0447761194029851 0 0.522388059701492 0.358208955223881 0 0 0 0 0 0 0 0 11 0.3010517016644 0.027368336514946 0.14207829766722 0.015897340399724 1.45833333333333 0.165289256198347 16
128 2 17.5 31 0.0883720930232558 0 0 0.534883720930233 0.376744186046512 0 0 0 0 0 0 0 0 22 0.60707716623596 0.027594416647088 0.14334444997482 0.01601941331432 1.41975308641975 0.0640495867768595 17
151 2 17.5 36 0.0804597701149425 0.0306513409961686 0 0.620689655172414 0.268199233716475 0 0 0 0 0 0 0 0 21 0.58605997616762 0.02790761791274 0.13311386354112 0.016833276267654 2.31428571428571 0.0816326530612245 18
143 2 17.5 62 0.115497076023392 0.0570175438596491 0 0.274853801169591 0.552631578947368 0 0 0 0 0 0 0 0 21 0.59203001638222 0.028191905542002 0.1315450078711 0.017312631612628 0.497354497354497 0.140589569160998 19
140 2 17.5 28 0.0585585585585586 0.0045045045045045 0 0.657657657657658 0.279279279279279 0 0 0 0 0 0 0 0 19 0.56330149102084 0.029647446895838 0.11827627427334 0.019220526027894 2.35483870967742 0.0775623268698061 20
175 2 17.5 16 0.0693069306930693 0.0396039603960396 0 0.495049504950495 0.396039603960396 0 0 0 0 0 0 0 0 9 0.29935343094524 0.033261492327256 0.13578013330368 0.020446662205192 1.25 0.197530864197531 21
57 2 16.1818181818182 11 0.1 0 0 0.516666666666667 0.383333333333333 0 0 0 0 0 0 0 0 9 0.309007974566418 0.03433421939628 0.148791717607164 0.0200270321199127 1.34782608695652 0.135802469135802 22
121 2 17.5 50 0.201101928374656 0.0110192837465565 0 0.418732782369146 0.369146005509642 0 0 0 0 0 0 0 0 27 0.96401966006434 0.035704431854232 0.13309681539486 0.023530383911654 1.13432835820896 0.0685871056241427 23
46 2 16.1818181818182 10 0.133333333333333 0.0222222222222222 0 0.488888888888889 0.355555555555556 0 0 0 0 0 0 0 0 8 0.297172017569655 0.0371465021962145 0.133074896632582 0.0234424458481636 1.375 0.15625 24
155 2 17.5 27 0.164473684210526 0.0460526315789474 0 0.375 0.414473684210526 0 0 0 0 0 0 0 0 16 0.60686835108112 0.037929271942568 0.13328431362344 0.024307123131014 0.904761904761905 0.10546875 25
147 2 17.5 28 0.149038461538462 0.0336538461538462 0 0.471153846153846 0.346153846153846 0 0 0 0 0 0 0 0 14 0.58254163328066 0.041610116662904 0.1199984801711 0.028545389411552 1.36111111111111 0.142857142857143 26
12 2 17.5 57 0.105610561056106 0.0429042904290429 0 0.298679867986799 0.552805280528053 0 0 0 0 0 0 0 0 21 0.87927705983464 0.041870336182606 0.12922580827126 0.027311090834494 0.540298507462687 0.129251700680272 27
112 2 17.5 75 0.0455635491606715 0.0143884892086331 0 0.574340527577938 0.365707434052758 0 0 0 0 0 0 0 0 37 1.5754219608124 0.04257897191384 0.13338251773246 0.028390917879688 1.57049180327869 0.0547845142439737 28
