w scaling repl L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred compratio co prank
20 0 17.7659574468085 370 0.0601941747572816 0.040890919474586 0 0.792461450599657 0.102113078241005 0.00137064534551685 0.00251284980011422 0 0 0 0.000456881781838949 0 0 154 0.331604176192149 0.00215327387137787 0.196955948001362 0.000880053779024894 7.76062639821029 0.0156012818350481 1
29 0 13.0769230769231 1483 0.100923471713403 0.189269495044992 0.00010129488629649 0.275285735991761 0.403828946702007 0.0155656475275606 0.0118177367345905 0.00133371600290379 0.000557121874630696 0.000219472253642395 0.000928536457717826 6.75299241976601e-05 0.00010129488629649 81 0.642333671201231 0.00793004532347051 0.186016036409231 0.00342153922003385 0.681688963210702 0.226032616979119 2
30 0 17.5 380 0.0399032648125756 0.141354292623942 0 0.149334945586457 0.514752116082225 0.102539298669891 0.0191051995163241 0.00544135429262394 0.000120918984280532 0 0.0274486094316808 0 0 35 0.33842679385954 0.0096693369674148 0.20941705232186 0.003794404162873 0.290110406389476 0.310204081632653 3
172 0 17.5 70 0.0621403912543153 0.0103567318757192 0 0.575373993095512 0.352128883774453 0 0 0 0 0 0 0 0 26 0.33268894194866 0.012795728536488 0.19975317082118 0.005317430845101 1.63398692810458 0.103550295857988 4
110 0 17.5 47 0.108991825613079 0.0354223433242507 0 0.574931880108992 0.280653950953678 0 0 0 0 0 0 0 0 25 0.32753199809808 0.013101279923922 0.1928878064786 0.005610174650815 2.04854368932039 0.0752 5
95 0 17.5 27 0.0944444444444444 0.05 0 0.594444444444444 0.261111111111111 0 0 0 0 0 0 0 0 15 0.33015386867606 0.022010257911736 0.1932498852725 0.0097788559573886 2.27659574468085 0.12 6
103 0 17.5 32 0.201058201058201 0.0846560846560847 0 0.338624338624339 0.296296296296296 0.0211640211640212 0.0317460317460317 0.00529100529100529 0.0105820105820106 0 0 0 0.0105820105820106 14 0.32065751848798 0.022904108463426 0.17936173277426 0.010868906593366 1.14285714285714 0.163265306122449 7
18 0 17.5 203 0.0896069287141905 0.148234510326449 0 0.296469020652898 0.361425716189207 0.0579613590939374 0.0223184543637575 0.00799467021985343 0.00266489007328448 0 0.0123251165889407 0.00033311125916056 0.000666222518321119 29 0.68239462574538 0.02353084916363 0.1915876902676 0.011082194267042 0.820276497695852 0.241379310344828 8
7 0 17.1764705882353 62 0.0863422291993721 0.0408163265306122 0 0.433281004709576 0.43956043956044 0 0 0 0 0 0 0 0 27 0.661835411773471 0.0245124226582804 0.196820051383647 0.010727812360249 0.985714285714286 0.0850480109739369 9
28 0 17.5 556 0.120747164776518 0.141260840560374 0.00225150100066711 0.196380920613742 0.358072048032021 0.0633755837224817 0.0394429619746498 0.0295196797865243 0.0122581721147432 0.00466977985323549 0.0240160106737825 0.00458639092728486 0.00341894596397598 50 1.2863240811446 0.025726481622884 0.25022994753176 0.01139647316062 0.548439683278994 0.2224 10
